week_number,week_start,week_end,tests_weekly,tests_cumulative,test_rate_weekly,test_rate_cumulative,percent_tested_positive_weekly,percent_tested_positive_cumulative,deaths_weekly,deaths_cumulative,death_rate_weekly,death_rate_cumulative,population,row_id,zip_code_location,:@computed_region_rpca_8um6,:@computed_region_vrxf_vc4k,:@computed_region_6mkv_f3dw,:@computed_region_bdys_3d7i,:@computed_region_43wa_7qmu,cases_weekly,cases_cumulative,case_rate_weekly,case_rate_cumulative
10,2020-03-01T00:00:00.000,2020-03-07T00:00:00.000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1174,60603-2020-10,"{'type': 'Point', 'coordinates': [-87.625473, 41.880112]}",34,38,14311,367,36,0,0,0.0,0.0
11,2020-03-08T00:00:00.000,2020-03-14T00:00:00.000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1174,60603-2020-11,"{'type': 'Point', 'coordinates': [-87.625473, 41.880112]}",34,38,14311,367,36,0,0,0.0,0.0
12,2020-03-15T00:00:00.000,2020-03-21T00:00:00.000,1,1.0,85.2,85.2,0.0,0.0,0.0,0.0,0.0,0.0,1174,60603-2020-12,"{'type': 'Point', 'coordinates': [-87.625473, 41.880112]}",34,38,14311,367,36,0,0,0.0,0.0
13,2020-03-22T00:00:00.000,2020-03-28T00:00:00.000,3,4.0,255.5,340.7,0.0,0.0,0.0,0.0,0.0,0.0,1174,60603-2020-13,"{'type': 'Point', 'coordinates': [-87.625473, 41.880112]}",34,38,14311,367,36,0,0,0.0,0.0
14,2020-03-29T00:00:00.000,2020-04-04T00:00:00.000,6,10.0,511.1,851.8,0.0,0.0,0.0,0.0,0.0,0.0,1174,60603-2020-14,"{'type': 'Point', 'coordinates': [-87.625473, 41.880112]}",34,38,14311,367,36,0,0,0.0,0.0
15,2020-04-05T00:00:00.000,2020-04-11T00:00:00.000,6,16.0,511.1,1362.9,0.0,0.0,0.0,0.0,0.0,0.0,1174,60603-2020-15,"{'type': 'Point', 'coordinates': [-87.625473, 41.880112]}",34,38,14311,367,36,0,0,0.0,0.0
16,2020-04-12T00:00:00.000,2020-04-18T00:00:00.000,3,19.0,255.5,1618.4,0.0,0.0,0.0,0.0,0.0,0.0,1174,60603-2020-16,"{'type': 'Point', 'coordinates': [-87.625473, 41.880112]}",34,38,14311,367,36,0,0,0.0,0.0
17,2020-04-19T00:00:00.000,2020-04-25T00:00:00.000,3,22.0,255.5,1873.9,0.0,0.0,0.0,0.0,0.0,0.0,1174,60603-2020-17,"{'type': 'Point', 'coordinates': [-87.625473, 41.880112]}",34,38,14311,367,36,0,0,0.0,0.0
18,2020-04-26T00:00:00.000,2020-05-02T00:00:00.000,13,35.0,1107.3,2981.3,0.231,0.2,0.0,0.0,0.0,0.0,1174,60603-2020-18,"{'type': 'Point', 'coordinates': [-87.625473, 41.880112]}",34,38,14311,367,36,0,0,0.0,0.0
19,2020-05-03T00:00:00.000,2020-05-09T00:00:00.000,7,42.0,596.3,3577.5,0.0,0.167,0.0,0.0,0.0,0.0,1174,60603-2020-19,"{'type': 'Point', 'coordinates': [-87.625473, 41.880112]}",34,38,14311,367,36,0,0,0.0,0.0
20,2020-05-10T00:00:00.000,2020-05-16T00:00:00.000,8,50.0,681.4,4258.9,0.375,0.2,0.0,0.0,0.0,0.0,1174,60603-2020-20,"{'type': 'Point', 'coordinates': [-87.625473, 41.880112]}",34,38,14311,367,36,1,5,85.2,425.9
21,2020-05-17T00:00:00.000,2020-05-23T00:00:00.000,14,64.0,1192.5,5451.4,0.071,0.172,0.0,0.0,0.0,0.0,1174,60603-2020-21,"{'type': 'Point', 'coordinates': [-87.625473, 41.880112]}",34,38,14311,367,36,1,6,85.2,511.1
22,2020-05-24T00:00:00.000,2020-05-30T00:00:00.000,7,71.0,596.3,6047.7,0.0,0.155,0.0,0.0,0.0,0.0,1174,60603-2020-22,"{'type': 'Point', 'coordinates': [-87.625473, 41.880112]}",34,38,14311,367,36,0,6,0.0,511.1
23,2020-05-31T00:00:00.000,2020-06-06T00:00:00.000,19,90.0,1618.4,7666.1,0.053,0.133,0.0,0.0,0.0,0.0,1174,60603-2020-23,"{'type': 'Point', 'coordinates': [-87.625473, 41.880112]}",34,38,14311,367,36,0,6,0.0,511.1
24,2020-06-07T00:00:00.000,2020-06-13T00:00:00.000,10,100.0,851.8,8517.9,0.0,0.12,0.0,0.0,0.0,0.0,1174,60603-2020-24,"{'type': 'Point', 'coordinates': [-87.625473, 41.880112]}",34,38,14311,367,36,0,6,0.0,511.1
25,2020-06-14T00:00:00.000,2020-06-20T00:00:00.000,14,114.0,1192.5,9710.4,0.0,0.105,0.0,0.0,0.0,0.0,1174,60603-2020-25,"{'type': 'Point', 'coordinates': [-87.625473, 41.880112]}",34,38,14311,367,36,0,6,0.0,511.1
26,2020-06-21T00:00:00.000,2020-06-27T00:00:00.000,10,124.0,851.8,10562.2,0.0,0.097,0.0,0.0,0.0,0.0,1174,60603-2020-26,"{'type': 'Point', 'coordinates': [-87.625473, 41.880112]}",34,38,14311,367,36,0,6,0.0,511.1
27,2020-06-28T00:00:00.000,2020-07-04T00:00:00.000,24,148.0,2044.3,12606.5,0.0,0.081,0.0,0.0,0.0,0.0,1174,60603-2020-27,"{'type': 'Point', 'coordinates': [-87.625473, 41.880112]}",34,38,14311,367,36,0,6,0.0,511.1
28,2020-07-05T00:00:00.000,2020-07-11T00:00:00.000,20,168.0,1703.6,14310.1,0.0,0.071,0.0,0.0,0.0,0.0,1174,60603-2020-28,"{'type': 'Point', 'coordinates': [-87.625473, 41.880112]}",34,38,14311,367,36,0,6,0.0,511.1
29,2020-07-12T00:00:00.000,2020-07-18T00:00:00.000,31,199.0,2640.5,16950.6,0.065,0.07,0.0,0.0,0.0,0.0,1174,60603-2020-29,"{'type': 'Point', 'coordinates': [-87.625473, 41.880112]}",34,38,14311,367,36,2,8,170.4,681.4
30,2020-07-19T00:00:00.000,2020-07-25T00:00:00.000,30,229.0,2555.4,19506.0,0.033,0.066,0.0,0.0,0.0,0.0,1174,60603-2020-30,"{'type': 'Point', 'coordinates': [-87.625473, 41.880112]}",34,38,14311,367,36,1,9,85.2,766.6
31,2020-07-26T00:00:00.000,2020-08-01T00:00:00.000,24,253.0,2044.3,21550.3,0.0,0.059,0.0,0.0,0.0,0.0,1174,60603-2020-31,"{'type': 'Point', 'coordinates': [-87.625473, 41.880112]}",34,38,14311,367,36,0,9,0.0,766.6
32,2020-08-02T00:00:00.000,2020-08-08T00:00:00.000,13,266.0,1107.3,22657.6,0.077,0.06,0.0,0.0,0.0,0.0,1174,60603-2020-32,"{'type': 'Point', 'coordinates': [-87.625473, 41.880112]}",34,38,14311,367,36,1,10,85.2,851.8
33,2020-08-09T00:00:00.000,2020-08-15T00:00:00.000,22,288.0,1873.9,24531.5,0.0,0.056,0.0,0.0,0.0,0.0,1174,60603-2020-33,"{'type': 'Point', 'coordinates': [-87.625473, 41.880112]}",34,38,14311,367,36,1,11,85.2,937.0
34,2020-08-16T00:00:00.000,2020-08-22T00:00:00.000,21,309.0,1788.8,26320.3,0.0,0.052,0.0,0.0,0.0,0.0,1174,60603-2020-34,"{'type': 'Point', 'coordinates': [-87.625473, 41.880112]}",34,38,14311,367,36,0,11,0.0,937.0
12,2021-03-21T00:00:00.000,2021-03-27T00:00:00.000,73,2107.0,6218.1,179471.9,0.082,0.037,0.0,0.0,0.0,0.0,1174,60603-2021-12,"{'type': 'Point', 'coordinates': [-87.625473, 41.880112]}",34,38,14311,367,36,4,72,340.7,6132.9
10,2020-03-01T00:00:00.000,2020-03-07T00:00:00.000,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,782,60604-2020-10,"{'type': 'Point', 'coordinates': [-87.629029, 41.878153]}",29,38,14912,92,10,0,0,0.0,0.0
11,2020-03-08T00:00:00.000,2020-03-14T00:00:00.000,1,1.0,127.9,127.9,0.0,0.0,0.0,0.0,0.0,0.0,782,60604-2020-11,"{'type': 'Point', 'coordinates': [-87.629029, 41.878153]}",29,38,14912,92,10,0,0,0.0,0.0
12,2020-03-15T00:00:00.000,2020-03-21T00:00:00.000,0,1.0,0.0,127.9,0.0,0.0,0.0,0.0,0.0,0.0,782,60604-2020-12,"{'type': 'Point', 'coordinates': [-87.629029, 41.878153]}",29,38,14912,92,10,0,0,0.0,0.0
13,2020-03-22T00:00:00.000,2020-03-28T00:00:00.000,7,8.0,895.1,1023.0,0.0,0.0,0.0,0.0,0.0,0.0,782,60604-2020-13,"{'type': 'Point', 'coordinates': [-87.629029, 41.878153]}",29,38,14912,92,10,0,0,0.0,0.0
14,2020-03-29T00:00:00.000,2020-04-04T00:00:00.000,4,12.0,511.5,1534.5,0.0,0.0,0.0,0.0,0.0,0.0,782,60604-2020-14,"{'type': 'Point', 'coordinates': [-87.629029, 41.878153]}",29,38,14912,92,10,0,0,0.0,0.0
