Name,Location ,Status,Date,,
Paladar,Logan Square,Permanently closed,Mar-21,,
The Common Cup,Rogers Park,Temporary closed,Mar-21,,
No Bones Beach Club,Wicker Park,Permanently closed,Mar-21,,
Windy Kitty Cat Café and Lounge,Bucktown,Temporary closed,Mar-21,,
Don Juan Restaurante,Edison Park,Permanently closed,Mar-21,,
Hogar Café,Gage Park ,Permanently closed,Mar-21,,
Opar Thai House,Westown,Permanently closed,Mar-21,,
Nita's Gumbo,Avalon Park,Permanently closed,Mar-21,,
Granville Avenue Café,Edgewater,Temporary closed,Mar-21,,
Nookies,Edgewater,Permanently closed,Mar-21,,
Max's Take Out,The Loop,Permanently closed,Mar-21,,
Royal Indian Grill,Lakeview,Permanently closed,Feb-21,,
Mesa Urbana,Portage Park ,Temporary closed,Feb-21,,
Pauly's Pizzeria,South Loop ,Permanently closed,Feb-21,,
Litle Lamb,Chinatown,Permanently closed,Feb-21,,
Pacific Standard Time,River North ,Permanently closed,Feb-21,,
Chicago Joe's ,North Center,Permanently closed,Feb-21,,
White Fence Farm,Plainfield,Permanently closed,Feb-21,,
Stone Flower,Bucktown,Permanently closed,Feb-21,,
Noodles and Rice ,Edgewater,Permanently closed,Feb-21,,
Avenue Tavern,Lakeview,Permanently closed,Feb-21,,
Red Lion Square,Lincoln Square ,Permanently closed,Feb-21,,
Fiore's ,Ukranian Village,Permanently closed,Feb-21,,
Mujo Ramen,Around Town,Permanently closed,Jan-21,,
III Forks,Lakeshore East,Permanently closed,Jan-21,,
Thai Room,Lincoln Square ,Temporary closed,Jan-21,,
Downtown Dogs,Mag Mile,Permanently closed,Jan-21,,
Ristorante Agostino,Montclare,Temporary closed,Jan-21,,
Canto Regio,Pilsen ,Temporary closed,Jan-21,,
Café Cremerie,Gold Coast,Permanently closed,Jan-21,,
Over Easy,Ravenswood,Temporary closed,Jan-21,,
Adagio Teas State Street,River North ,Permanently closed,Jan-21,,
Replay Beer & Bourbon ,Anderson ville ,Temporary closed,Jan-21,,
Tutto,Southloop,Permanently closed,Jan-21,,
1340 Beer Wine Spirits,westloop,Permanently closed,Jan-21,,
The Dark Horse Tap & Grille,Wrigleyville,Permanently closed,Jan-21,,
Pinched Mediterranean Grill,Lombard,Temporary closed,Jan-21,,
Cortland's Garage,Bucktown,Temporary closed,Dec-20,,
Fran's Beef,Pilsen,Permanently closed,Dec-20,,
Bernie's,River North ,Temporary closed,Dec-20,,
Starbucks Reserve,Wrigleyville,Permanently closed,Dec-20,,
Three Floyds Brewpub,Munster Indiana,Permanently closed,Dec-20,,
Family Bar,Dunning,Permanently closed,Dec-20,,
Southern Cut Barbecue,Gold Coast,Permanently closed,Dec-20,,
Marge's Still,Lincoln Park,Temporary closed,Dec-20,,
Good Fortune,Logan Square,Permanently closed,Dec-20,,
La Luna,Pilsen,Temporary closed,Dec-20,,
Furious Spoon ramen,Wicker Park,Temporary closed,Dec-20,,
Blue Nose,Hodgkins,Permanently closed,Dec-20,,
Burger King,Evanston,Permanently closed,Dec-20,,
Broadway Cellars,Edgewater,Temporary closed,Dec-20,,
Burke’s Public House,Edgewater,Temporary closed,Dec-20,,
BLVD Steakhouse,Fulton Market,Temporary closed,Dec-20,,
Blue Agave Tequila Bar & Restaurant,Gold Coast,Permanently closed,Dec-20,,
Devil Dawgs,Lincoln Park,Permanently closed,Dec-20,,
Saba Italian Bar and Kitchen,Logan Square,Temporary closed,Dec-20,,
The Globe Pub,North Center,Temporary closed,Dec-20,,
The Reservoir,Uptown,Temporary closed,Dec-20,,
Uptown Arcade,Uptown,Temporary closed,Dec-20,,
Wing Hoe,Edgewater,Permanently closed,Dec-20,,
